m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z,m4_x,m4_y,m4_z,m5_x,m5_y,m5_z,m6_x,m6_y,m6_z,m7_x,m7_y,m7_z,m8_x,m8_y,m8_z,m9_x,m9_y,m9_z
1.18454499088127,15.125256968145203,0.0,0.7411566998126027,14.463245016862267,0.0,2.8955742224575878,14.42435180242171,0.0,1.0571532549047267,-1.710286900265397,0.0,11.387348372547153,-7.296393075332226,0.0,-3.9922666093143997,-3.488459277997105,0.0,-5.020156412140823,-9.15830045895478,0.0,-15.581303997547131,-3.266268410884328,0.0,-6.146794459422895,2.241009019173848,0.0,4.682364571815548,-7.900340139462374,0.0
-0.7423043253489501,10.853858381705715,0.0,-0.5704022164977931,10.240255093261192,0.0,0.6688441158672518,10.305869422546891,0.0,-0.6716611534165704,-1.6755543881127521,0.0,7.446294433055474,-5.747367427598689,0.0,-4.08384000258368,-3.198066755527046,0.0,-5.199319469258805,-7.622631700001899,0.0,-13.0495860867216,-3.1900325254975903,0.0,-6.178107019116759,0.9875349402747824,0.0,2.4150190189226937,-6.766719403550854,0.0
-2.1582737813052786,7.370310380674698,0.0,-1.8769280492019809,6.692776331326481,0.0,-1.2946822870130474,6.938194846740203,0.0,-1.771403719781079,-2.0855935768716094,0.0,4.161188599412361,-5.4392867391399955,0.0,-4.522777416587601,-3.3905318272491125,0.0,-5.686612136757949,-6.567986357765752,0.0,-11.22408046899466,-3.394017582918918,0.0,-6.2049621027646085,-0.0881331170315518,0.0,0.06971841911763432,-6.026739832739143,0.0
-3.406757167415715,4.464999266750679,0.0,-3.1640941038030332,3.703679714662509,0.0,-2.7923452188729634,3.9521537331567305,0.0,-3.3688780300008627,-2.8343243469488133,0.0,1.5484563292249716,-5.079878081147729,0.0,-5.2182574994786926,-3.915471634344888,0.0,-6.035972317749663,-6.0329636693243005,0.0,-10.147759241266323,-3.879026374080439,0.0,-6.609585881172986,-0.8395752492811848,0.0,-2.1145261416251873,-5.540729161726686,0.0
-4.651910102391963,1.8774059277801465,0.0,-4.839307306890051,1.3432058255633477,0.0,-4.180698349696794,1.439838642022608,0.0,-4.500343677851441,-3.6116761619367397,0.0,-0.8891550168389304,-4.940357117539824,0.0,-5.724626194682578,-3.981701636856618,0.0,-6.216666913726981,-6.04404433083964,0.0,-9.786701192834942,-4.75343769758786,0.0,-6.681479723804659,-1.8462699154851363,0.0,-3.793501170303376,-5.560914131116054,0.0
-5.9096591805641765,-0.36792275539143926,0.0,-6.01952245744365,-0.9344465243506885,0.0,-4.956781019186202,-0.4827587421607269,0.0,-5.560368287690675,-4.381216902191046,0.0,-3.404586158360629,-5.3565285940603555,0.0,-6.593631596659467,-4.735164428508859,0.0,-7.014978693652549,-6.15064681180082,0.0,-9.54654900186142,-5.566688061944994,0.0,-7.041603684930588,-2.7083636694665953,0.0,-5.036545762595168,-5.788249668167267,0.0
-6.971404538020528,-2.203763123949022,0.0,-7.203513018361909,-2.5306178915863855,0.0,-6.280170241663584,-2.024221940532051,0.0,-6.619860155313083,-5.133926713446889,0.0,-5.208266597021231,-5.850848398521965,0.0,-7.291631927798245,-5.832046147673248,0.0,-7.972839323787762,-6.550472874706501,0.0,-9.875957080786486,-6.220226934884644,0.0,-7.718550833893772,-3.967141341145826,0.0,-6.608452887871444,-6.131529716577682,0.0
-8.267657071280077,-3.7805104424544775,0.0,-7.9091802833094675,-3.5526372667198634,0.0,-7.78609817635831,-3.5768187736059733,0.0,-7.863705354858578,-6.255908972968743,0.0,-6.318309017184276,-6.606177907231668,0.0,-8.198196204317604,-6.61468124941326,0.0,-8.777905997465616,-6.7878972159787105,0.0,-9.855424599745843,-6.9448788659478575,0.0,-8.398108527376927,-4.839778979349207,0.0,-7.908375625424207,-7.124531496447162,0.0
-9.28219228872339,-5.55709508001506,0.0,-8.975113911504955,-5.116186116745114,0.0,-8.49077010373469,-4.8803998635501,0.0,-8.850607721374082,-7.015285378845502,0.0,-8.004919292281135,-7.249523124948168,0.0,-9.090117661967687,-7.6527156267881,0.0,-9.770443503496326,-7.403167626495545,0.0,-10.677649513673138,-7.617635146650878,0.0,-9.266388826937039,-5.900989230758578,0.0,-8.782255939982921,-7.639883827554295,0.0
-10.295090753300052,-6.778331115434479,0.0,-10.240924424315887,-6.654188183839853,0.0,-9.912011448701875,-6.040346020562717,0.0,-9.930753620556136,-7.825914507814136,0.0,-9.077995895724984,-7.9295441483284534,0.0,-10.26619933230125,-8.447866639944618,0.0,-10.538045094192789,-7.82430804982479,0.0,-11.074778642560947,-8.409233057717904,0.0,-10.03795801522259,-6.921408859761989,0.0,-9.678195837985026,-8.553529767766857,0.0
-11.519876398845218,-8.02421862551931,0.0,-10.893974910902099,-8.063149235979033,0.0,-10.943801658972031,-7.321046504390578,0.0,-11.039845647834355,-8.847435916985948,0.0,-9.861377175662945,-8.992230966720577,0.0,-11.355295515592845,-9.13063661612137,0.0,-11.148041506629912,-8.789540239791435,0.0,-11.464642839392516,-9.054447832835853,0.0,-11.226471491202622,-8.01180797526786,0.0,-10.206610132725304,-9.410015281391093,0.0
-12.231690351104344,-9.446741818833601,0.0,-12.2418803644195,-9.244828158432306,0.0,-12.019344251293852,-8.286162067939092,0.0,-12.225462913860246,-9.807222383365964,0.0,-11.129374785173102,-10.210678267771282,0.0,-12.151367468087711,-10.139069277457912,0.0,-12.158172819741106,-9.786933109627308,0.0,-12.329155140117114,-9.970575489134204,0.0,-12.068049402143778,-9.532742441410228,0.0,-10.93206420911122,-10.086289141204757,0.0
-13.08321217930443,-10.586259052031616,0.0,-13.366201724805155,-10.52462428068644,0.0,-13.520666316836582,-9.610608618941033,0.0,-12.940575188101832,-10.914764017039909,0.0,-12.510607087790348,-11.211849341841303,0.0,-13.351638778575799,-10.941844670414051,0.0,-13.104333400034283,-10.72045465207756,0.0,-13.185269019378243,-11.051532630320064,0.0,-12.863249806302054,-10.500064803896764,0.0,-12.201986802628355,-10.904322622061873,0.0
-13.958760779444917,-11.419165343823602,0.0,-14.26418582274585,-11.42456264403554,0.0,-14.42693571736701,-10.90742701902267,0.0,-13.993454525824731,-11.54748733501457,0.0,-13.465113845795713,-12.244473665614889,0.0,-14.532758023350771,-11.965808321431595,0.0,-14.104491442412515,-11.610973220160327,0.0,-13.69474074959174,-12.110306734796092,0.0,-13.756213709569536,-11.569119307697896,0.0,-13.409352312994606,-11.870860280130541,0.0
-15.074054869365074,-12.790812925570467,0.0,-14.95380022460401,-12.79194098283057,0.0,-15.402780542113051,-12.21227365804222,0.0,-14.971256837647587,-12.992656082685658,0.0,-14.69263976159018,-13.27091580798751,0.0,-15.314311941433985,-13.048628551343153,0.0,-15.490961526177363,-12.843196041957034,0.0,-14.808792572637707,-12.986802579598729,0.0,-14.816396130245536,-12.789926705212407,0.0,-14.508784998750935,-13.127183159499783,0.0
-16.032959960041936,-13.703559137402355,0.0,-16.077027025176864,-13.886517924325899,0.0,-15.85991413946062,-13.517342260674388,0.0,-16.171243520969647,-13.735251185143085,0.0,-15.755980704115725,-14.2014023407029,0.0,-15.921474952712051,-13.984610265252241,0.0,-16.146790409588366,-13.645728870415297,0.0,-15.860131934899742,-13.90503545216569,0.0,-15.759317226778167,-14.093113137458426,0.0,-15.420281407436075,-14.21713753967985,0.0
-17.47726263131445,-14.92630826360473,0.0,-17.032580338119853,-14.88350620519653,0.0,-16.690376211969813,-14.801051852012318,0.0,-17.08582120234406,-14.75736415877554,0.0,-16.433689881008288,-15.50080054347143,0.0,-17.179126399821005,-15.240631864709556,0.0,-17.175438657256166,-14.889985422169133,0.0,-16.66521235753406,-14.988269070249373,0.0,-16.798023506084082,-15.004722945933876,0.0,-16.631586714003614,-14.720868328180176,0.0
-18.421533768323812,-15.873849006671401,0.0,-17.518456227291146,-16.044998989764604,0.0,-17.660506645886993,-15.67315058362609,0.0,-18.081733501070858,-15.752908118134751,0.0,-17.537605174436898,-16.51915915426616,0.0,-17.848571142075535,-16.355340507986025,0.0,-18.25431474178395,-16.198007507073385,0.0,-17.80792856758212,-15.71641245155157,0.0,-17.78034719822532,-15.90907878620311,0.0,-17.777472112638392,-15.6349428976053,0.0
-19.637407062038093,-17.128814406454534,0.0,-18.807866434446144,-16.82616563201664,0.0,-18.656601959794205,-16.67594721877045,0.0,-19.141283513377942,-16.76633648445235,0.0,-18.655887568757624,-17.41372164969724,0.0,-18.848629803064664,-17.236963783170697,0.0,-19.14169436112768,-17.025820126335073,0.0,-18.644033634852754,-17.034457636676052,0.0,-19.155571468970074,-16.54390973094191,0.0,-19.265407917114405,-16.671437091377154,0.0
-20.697675246774313,-18.192444910245445,0.0,-20.189014815696694,-17.871466702095947,0.0,-19.755465499141618,-17.848070463614366,0.0,-20.42808553773746,-17.964743461216184,0.0,-19.593018352782863,-18.097256238044892,0.0,-19.910788325708328,-18.131508759813567,0.0,-20.0700963300296,-17.943096861810893,0.0,-19.949001272129415,-17.845515279969515,0.0,-20.253869136242802,-17.47382316292731,0.0,-20.302135005985193,-18.102987880296418,0.0
-21.711273214811612,-18.627177934019876,0.0,-21.16210884301388,-18.830027186148488,0.0,-20.58537250091755,-18.98539443056261,0.0,-21.228121799396042,-18.84044561706019,0.0,-20.71503332418958,-19.205682600455848,0.0,-21.131537165646588,-19.3606867829114,0.0,-21.312125467185396,-18.875939923457043,0.0,-20.720818315218263,-19.007054574776546,0.0,-21.226767670412563,-18.609170177758287,0.0,-21.221857491150207,-18.88460614615103,0.0
-22.231299844676904,-19.850771346575108,0.0,-22.47141372896127,-19.628898219616506,0.0,-21.376584565017165,-19.94822489986581,0.0,-22.187050924317486,-19.781315636022555,0.0,-21.860924580565193,-20.31759664581347,0.0,-22.388931945986815,-20.386352508556037,0.0,-22.046715866530697,-20.124757166402475,0.0,-22.24690822653375,-19.835368645155576,0.0,-21.95701388516946,-19.498914370788505,0.0,-22.230780935069237,-20.058786519817424,0.0
-23.28379659426502,-20.90000115063471,0.0,-23.25742665794556,-20.692497670385364,0.0,-22.432095243544097,-21.093874590022292,0.0,-23.38762632771888,-20.701377047167497,0.0,-23.212853121162993,-21.15538745603518,0.0,-23.67069934257813,-21.400005817043457,0.0,-23.150467316722317,-21.256960077171406,0.0,-23.209321914590266,-20.886168979821193,0.0,-23.2121668184471,-20.663342896918202,0.0,-23.430021540162706,-21.119786074838682,0.0
-24.634971859795527,-22.126391437064566,0.0,-24.74147489663051,-21.7303270246058,0.0,-23.71195491241359,-22.635587582396386,0.0,-24.945244663563045,-21.836059516295286,0.0,-24.382538748663976,-22.224170988546057,0.0,-24.306826595429254,-22.417571556899247,0.0,-23.754061112170827,-22.304835924366568,0.0,-24.539390330440337,-21.982895305527673,0.0,-24.028561168459103,-21.530155174415007,0.0,-24.023820461221085,-22.208855076632606,0.0
-25.497510953587028,-23.099158769267696,0.0,-25.594374391105347,-22.6393634738132,0.0,-25.135895429743574,-23.355287458179504,0.0,-25.64279581163218,-22.94965263758359,0.0,-25.427264393483224,-23.14161356060643,0.0,-25.026853569788248,-23.268204102418647,0.0,-24.931857090095853,-23.3830242570976,0.0,-25.81497440636955,-23.153066572670276,0.0,-24.994565759476675,-22.60379012574105,0.0,-25.074474355507327,-23.41995478411916,0.0
-26.384160202836174,-24.476557686805602,0.0,-26.733841488314045,-23.905812352486723,0.0,-26.242613008162106,-23.960009545724624,0.0,-26.90454477582981,-24.147393111527215,0.0,-26.540537819421267,-23.92239902010995,0.0,-25.889660223767283,-24.2948124903907,0.0,-26.033342625748073,-23.944498411938508,0.0,-26.930446841591646,-24.05122998011715,0.0,-26.076212832135592,-24.00841233951596,0.0,-26.260521983874927,-23.902212797335306,0.0
-27.21205490319579,-25.476753009072695,0.0,-27.46016075482799,-24.972920501987094,0.0,-27.329089189225883,-25.039891558074256,0.0,-28.020077678168764,-25.334070095180397,0.0,-27.550573919287952,-24.809789252338078,0.0,-26.754306216812502,-25.26961461839105,0.0,-27.134129251401568,-24.994994702405997,0.0,-27.85821231105501,-25.233911721649346,0.0,-27.19121175360731,-24.869873037010105,0.0,-27.683548018029054,-24.943345764833303,0.0
-28.55820631692049,-26.261981156277717,0.0,-28.484518614118564,-25.806750920020242,0.0,-28.00322822368055,-26.263840805652567,0.0,-28.70338987624204,-25.886034137010512,0.0,-28.714203856222017,-25.872787691591366,0.0,-28.127841638256402,-26.289152969469697,0.0,-28.397045224487567,-26.05381275023503,0.0,-28.41870612006725,-26.09949840837693,0.0,-28.277095605849144,-25.8110776377342,0.0,-28.686792182193113,-25.99301316529757,0.0
-29.510536356156702,-27.449744478974935,0.0,-29.834572355639562,-26.897970306968762,0.0,-29.332379654905296,-26.811926212439936,0.0,-29.465497441654875,-26.76904261356385,0.0,-29.625946267476916,-26.889177374636503,0.0,-28.788298080160086,-26.9627418893122,0.0,-29.63929862609623,-27.072778148893953,0.0,-29.62986160441651,-27.27888239354128,0.0,-29.342918786011616,-26.688190849216134,0.0,-29.556768640568745,-27.143719117081083,0.0
-30.578352988049907,-28.458698489568352,0.0,-30.75487001870172,-27.864781970121516,0.0,-30.015833706391508,-27.77023521450794,0.0,-30.40880768955312,-27.69415231856557,0.0,-30.478752912331206,-28.10653218224197,0.0,-30.21045926219078,-27.690316715166624,0.0,-30.475746892494886,-27.759642124519186,0.0,-30.469839315398698,-28.293072026586973,0.0,-30.28659874138824,-27.973217428013854,0.0,-30.461457324455587,-27.89913238925118,0.0
-31.8944511221237,-29.337554171192988,0.0,-31.53440906986225,-29.061362017560842,0.0,-31.198863149996992,-28.651447040654155,0.0,-31.35388560670203,-28.665076172188556,0.0,-31.55518191820822,-28.841996695189643,0.0,-31.171907066482703,-28.642462637258284,0.0,-31.66807204205826,-28.848442207206464,0.0,-31.729438968230035,-29.039294311381934,0.0,-31.312442525752854,-28.776543534153195,0.0,-31.311166574470075,-28.37909600782609,0.0
-32.76494507265366,-29.985917681935856,0.0,-32.17563954867488,-29.81965904552282,0.0,-32.589037954930404,-29.709943433199278,0.0,-32.26349256837721,-29.954988507250118,0.0,-32.37967954568613,-29.969218221932646,0.0,-31.989384749195306,-29.638324426034306,0.0,-32.56566285488378,-29.742288686703606,0.0,-32.53275694931231,-29.896351103207994,0.0,-32.51841237376505,-29.547723223243537,0.0,-32.532760637608284,-29.29858964620287,0.0
-33.792299912940436,-30.72120598496229,0.0,-33.43578366412763,-30.775821188330603,0.0,-33.555666539468646,-30.65441019114381,0.0,-33.29139867116829,-30.51887786444639,0.0,-33.51281436040221,-30.80898420797867,0.0,-33.32520687480237,-30.767683782973684,0.0,-33.532236222372525,-30.893523884943882,0.0,-33.544512706848494,-31.040270370524162,0.0,-33.42835936155867,-30.292069946995838,0.0,-33.6218566621674,-30.39364496907813,0.0
-34.90315460942436,-31.579984149402794,0.0,-34.44812441941452,-32.19125657119116,0.0,-34.42090620478015,-31.582173006157003,0.0,-34.09699596213918,-31.69617484962473,0.0,-34.6680558614313,-31.73011599640267,0.0,-34.355215021050476,-31.421002880246686,0.0,-34.35798109684194,-31.732680533873808,0.0,-34.3291411408415,-32.17780837815707,0.0,-34.54333915275688,-31.732328459905887,0.0,-34.951533998168465,-31.589113094557735,0.0
-35.99699102342092,-33.04976623608762,0.0,-35.35386128136358,-33.20235458215508,0.0,-35.54312673585269,-32.63882841425189,0.0,-35.46678635728872,-32.629945670959465,0.0,-35.58610570149724,-32.69805968232454,0.0,-35.251311317324806,-32.39290490994484,0.0,-35.15732503199057,-32.64282986391945,0.0,-35.18388954363887,-33.06280663460966,0.0,-35.519000835100314,-32.42605760421158,0.0,-35.5796459608006,-32.35859709877476,0.0
-36.53220939072263,-34.09875576219908,0.0,-36.14726586782796,-34.16463940762947,0.0,-36.286763694331924,-33.690797656026184,0.0,-36.434011942727274,-33.447745911485825,0.0,-36.36744720474449,-33.92326679602248,0.0,-36.29878243834732,-33.43041718740572,0.0,-36.43318097138524,-33.35144366389602,0.0,-35.8945003822773,-34.091604766641794,0.0,-36.76346881868563,-33.428346502296485,0.0,-36.205174183185356,-33.41394029950354,0.0
-37.35447766157098,-34.92983129007523,0.0,-37.02415192401915,-35.01269940088141,0.0,-37.02587687711262,-34.55242767784079,0.0,-37.3390261969608,-34.748045843585324,0.0,-37.10924146069136,-34.40439823095373,0.0,-37.162324965860826,-34.75107009762695,0.0,-37.246091114051055,-34.98341145791401,0.0,-36.75614911693042,-35.39393965368702,0.0,-37.62286313305784,-34.537688776484075,0.0,-36.9684529405143,-34.38781862203967,0.0
-38.20450533242425,-35.82337113023375,0.0,-37.875009194945086,-36.094700657587914,0.0,-38.145912540926666,-35.65112328429531,0.0,-38.67689156030651,-36.16617987145591,0.0,-37.94854781989633,-35.25717855886825,0.0,-38.18761267161465,-35.3655741500478,0.0,-37.749769778588515,-36.03426165454778,0.0,-37.854327617333475,-36.17150507997452,0.0,-38.75337694928371,-35.516500903843806,0.0,-37.84518076223328,-35.610958983415735,0.0
-39.350278152480755,-36.7191800804659,0.0,-39.08679918552142,-36.839216425391044,0.0,-38.803634233767355,-36.581851075418015,0.0,-39.68607608873904,-37.10398695273608,0.0,-39.088503544633,-36.25499209772838,0.0,-39.34119421587749,-36.51133191830565,0.0,-38.92223879002753,-36.63535176193492,0.0,-38.78337843245812,-37.07094984552472,0.0,-39.33075807612198,-36.78290891058019,0.0,-38.70479921353987,-36.47131798361814,0.0
-39.87614924906921,-37.218063832882955,0.0,-40.02675405993736,-37.75308900611274,0.0,-40.027273078275094,-37.19402777408122,0.0,-40.71167382731081,-37.81262890913132,0.0,-39.79114409855257,-37.84897233961352,0.0,-40.59858130123778,-37.51590005358673,0.0,-40.11718555116485,-37.67192386363618,0.0,-39.82774990480471,-37.74910394810842,0.0,-40.10398046579004,-37.76486308587813,0.0,-40.06616719238128,-37.52261834010427,0.0
-40.994168234622265,-38.333835350865066,0.0,-40.98165442596977,-38.72444322012483,0.0,-41.28477992759578,-38.38981500331091,0.0,-41.67509160061084,-39.11201464052964,0.0,-40.84966710098887,-38.89295847991407,0.0,-40.69160613439157,-38.66761039068872,0.0,-41.374699190988515,-38.84664996884271,0.0,-41.15975936340002,-38.88594543897844,0.0,-41.28985226518539,-38.589919219999494,0.0,-41.08509371329572,-38.47151041190046,0.0
-42.33086017629014,-39.4996476973618,0.0,-41.74617148864485,-40.01482119527573,0.0,-42.134311945814375,-39.57866613541571,0.0,-42.68580327478174,-40.060522957067725,0.0,-41.897190321540066,-40.04498946270177,0.0,-41.940417167171596,-39.62007589509892,0.0,-42.1625673264676,-39.960989003645544,0.0,-41.986822669767285,-39.8996922822414,0.0,-42.21635415687431,-39.65457916618594,0.0,-41.91079000672251,-39.69908268940918,0.0
-43.11037447160687,-40.18414799322252,0.0,-42.448646132259306,-40.80393479280864,0.0,-43.23545586835191,-40.72642656526538,0.0,-43.43232638831016,-41.09992518458407,0.0,-42.937724492156725,-41.34391146450931,0.0,-42.7961938736091,-40.56439292273812,0.0,-42.95195282671621,-40.91430147409603,0.0,-43.19392293097378,-40.66875990992558,0.0,-43.041231507405286,-40.98392446713798,0.0,-42.99571957009348,-40.66296149544258,0.0
-44.22477334014905,-41.786666083914106,0.0,-43.10127340056578,-42.16881752189368,0.0,-44.74711733032669,-41.82790907285349,0.0,-44.37303054797642,-42.20937045232551,0.0,-44.30125582837465,-41.94784695683221,0.0,-43.86146007626881,-41.61602178746673,0.0,-43.90700515386704,-42.10860058041226,0.0,-44.60794430562148,-41.63885037358555,0.0,-44.17863048501707,-42.192167729187545,0.0,-43.927182307568444,-41.84124372779267,0.0
-45.32909353908398,-42.70312828255064,0.0,-44.45484077096866,-43.045889193576635,0.0,-45.81933124407375,-42.923247863478316,0.0,-45.29285818397461,-43.148824298667876,0.0,-45.38300234125934,-42.748152910374124,0.0,-44.7732039588118,-42.572789285173826,0.0,-44.933168220393526,-43.06125260552459,0.0,-45.659343187420866,-42.740292341027136,0.0,-45.01535443865942,-42.99923352110617,0.0,-45.06185897631939,-42.588044302599926,0.0
-46.0704281683908,-43.579576941624246,0.0,-45.52649041904331,-43.945814130903806,0.0,-46.63204385485234,-43.913662172847985,0.0,-46.585635094052314,-44.09263437602771,0.0,-45.84777188433595,-43.97973026042983,0.0,-45.27238040653591,-43.54415555202197,0.0,-46.30396897092564,-43.78062398231554,0.0,-46.19923134529239,-43.9918441564586,0.0,-45.94153794183008,-43.96474599523987,0.0,-46.12520312411811,-43.6190300230544,0.0
